8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
IMPULSE,AC2990,Impulse AC Treadmill - Light Commercial - 15 amp socket required,CARDIO,Treadmills - Motorised Treadmill,A,0,2,14,2,0,6,0, $ -   ,18," $ 67,813 ",49.0%,0.5,7-Sep-2026,7,6,PO0033281,-0.67,,,
FORCE USA,OB500-V2,Force USA - 20kg 7ft Olympic Barbell,STRENGTH,Barbells & Weight Plates - Olympic Barbells,A,0.4,36,200,32,4,0,7," $ 1,097 ",376," $ 67,584 ",64.7%,11.4,31-Aug-2026,50,0,PO0033155,1.84,,,
REP,DB-7000,REP x PEPIN Fast Series Adjustable Dumbbell - 85lb,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,0.4,1,0,0,1,0,0, $ -   ,74," $ 66,809 ",49.0%,2.2,,,,,0.00,,,
VERSAFIT,VF-RT15-GF-V2,VersaFit - Rubber Flooring Tile 1m x 1m x 15mm - Grey Fleck,OTHER,Flooring,A,0,38,1960,38,0,127,111," $ 3,125 ","2,132"," $ 64,610 ",37.6%,64.6,31-Aug-2026,"1,260",131,PO0033154,0.00,,,
FORCE USA,F-R3,Force USA R3 Air Rower,CARDIO,Rowers,Non-stocked,39.7,93,0,10,83,0,2," $ 1,817 ",69," $ 63,075 ",56.8%,2.1,,,,,0.19,,,
FORCE USA,F-MG4,Force USA Multi Gym 4,STRENGTH,All-In-One Trainers - All-In-One Trainers,Obsolete,0,1,0,1,0,0,1," $ 3,172 ",19," $ 62,697 ",32.0%,0.6,,,,,0.50,,,
FORCE USA,F-S-LELC,Force USA Solitude Leg Extension / Leg Curl Machine,COMMERCIAL,Pin Loaded - Dual Function,A,0,2,45,2,0,0,0, $ -   ,27," $ 62,022 ",55.8%,0.8,15-Sep-2026,15,0,PO0033289,0.61,,,
FORCE USA,F-SP3,Force USA SP3 FID Bench,STRENGTH,Benches - Adjustable,A,8.5,90,100,14,76,0,9," $ 1,464 ",294," $ 58,521 ",53.2%,8.9,30-Sep-2026,100,0,PO0033279,0.41,,,
FORCE USA,F-HG100,Force USA HG100 Home Gym,STRENGTH,Home Gyms & Multi-Station Units,Obsolete,2.1,13,0,7,6,0,1, $ 635 ,94," $ 56,193 ",49.1%,2.8,,,,,1.25,,,
BOWFLEX,BOWFLEX-T6,Bowflex T6 Treadmill,CARDIO,Treadmills - Motorised Treadmill,Obsolete,0,0,0,0,0,0,0, $ -   ,30," $ 55,153 ",43.1%,0.9,,,,,0.00,,,
FORCE USA,F-F100-V2,Force USA F100 All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,Obsolete,0,0,0,0,0,0,0, $ -   ,19," $ 54,603 ",47.0%,0.6,,,,,0.00,,,
IMPULSE,RT700,Impulse RT700 Treadmill - 15 amp socket required,COMMERCIAL,Treadmills - Motorised Treadmill,A,0,5,7,5,0,4,0, $ -   ,10," $ 53,505 ",55.0%,0.3,7-Sep-2026,7,4,PO0033281,0.54,,,
FORCE USA,F-UTBP20,Force USA - Ultimate Training Bumper Plates - 20kg - Black,STRENGTH,Barbells & Weight Plates - Bumper Plates,A,0.7,42,396,30,12,0,4, $ 397 ,600," $ 53,117 ",47.7%,18.2,30-Sep-2026,220,0,PO0033286,1.96,,,
FORCE USA,F-M10-FRAME,Force USA M10 Frame,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,1.4,6,110,5,1,0,0, $ -   ,23," $ 51,821 ",67.9%,0.7,30-Sep-2026,30,0,PO0033157,3.32,,,
VERSAFIT,VF-CEP-FLECK,Versafit - Connector Elite Zero Gap EPDM Tiles - Grey Fleck,FLOORING,Rubber Flooring - Commercial Flooring,A,0,0,1500,0,0,111,1, $ 10 ,"1,001"," $ 50,136 ",54.4%,30.3,31-Aug-2026,"1,000",111,PO0033154,0.00,,,
REP,DB-7500,REP x PEPIN Fast Series Adjustable Dumbbell - Base Hande - KG (Single),STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,A,0,0,172,0,0,18,0, $ -   ,40," $ 48,031 ",60.9%,1.2,15-Sep-2026,100,20,PO0033156,0.00,,,
VERSAFIT,VF-RT15-BF-V2,VersaFit - Rubber Flooring Tile 1m x 1m x 15mm - Blue Fleck,OTHER,Flooring,A,0,9,1680,9,0,216,0, $ -   ,"1,552"," $ 47,155 ",36.4%,47.0,31-Aug-2026,280,216,PO0033154,39.63,,,
FORCE USA,F-X20-V2,Force USA X20 All In One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,Obsolete,0,0,0,0,0,0,0, $ -   ,12," $ 46,809 ",25.4%,0.4,,,,,0.00,,,
ASSAULT FITNESS,AS-ARE,Assault Runner Elite,CARDIO,Treadmills - Manual Treadmill,A,0,12,25,12,0,0,0, $ -   ,8," $ 46,271 ",51.6%,0.2,14-Aug-2026,25,0,PO0033153,0.40,,,
