8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
PTP,MSB COMBO,MASSAGE BALLS COMBINATION-BLACK & LIME,RECOVERY,Massage Tools,Obsolete,52.8,8,0,0,8,0,0, $ -   ,5, $ 114 ,28.0%,0.2,,,,,0.15,,,
REP,PRA-FT-2000-GR-90,"Altitude Series - Functional Trainer Attachment - Guide Rods - 90""",,,C,462,28,0,0,28,0,2, $ 113 ,2, $ 113 ,-10.4%,0.1,,,,,0.00,,,
FORCE USA,RHD7.5,Force USA Rubber Hex Dumbbell 7.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,C,0,0,100,0,0,0,0, $ -   ,4, $ 110 ,39.2%,0.1,31-Aug-2026,50,0,PO0033155,0.00,,,
PTP,PTP E8,ELITE ANKLE STRAPS-BLACK,STRENGTH,Attachments - Cable Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,8, $ 109 ,20.1%,0.2,,,,,0.00,,,
REP,PRA-FT-ARES-02-UPGRADE(STICKER),REP Fitness Ares 2.0 - Weight Stack Upgrade(PRA-FT-DUAL-02-S-UPGRADE-STICKER),,,C,151.8,24,0,1,23,0,0, $ -   ,5, $ 102 ,88.6%,0.2,30-Nov-2026,1,0,PO0033293,0.35,,,
PUNCH EQUIPMENT,UBGB10V30,Boxing Gloves - Urban - 10oz - Black V30,FUNCTIONAL,Training Aids,Obsolete,66,4,0,0,4,0,0, $ -   ,2, $ 102 ,48.4%,0.1,,,,,0.00,,,
CENTR,HETP2,Elite 15 Hyrox Top Plate 2kg,FUNCTIONAL,Hyrox,Non-stocked,0,1,0,1,0,1,0, $ -   ,1, $ 97 ,60.1%,0.0,,,,,0.00,,,
POWERBLOCK,785-00156-00,Powerblock SportBench Dip Attachment,STRENGTH,Rigs & Racks - Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,1, $ 97 ,54.1%,0.0,,,,,0.00,,,
S30,S30-RHD3,S30 Rubber Hex Dumbbells - 3kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,20.6,10,0,0,10,0,0, $ -   ,16, $ 96 ,-9.7%,0.5,,,,,-0.03,,,
FORCE USA,F-CRD3,Force USA Commercial Round Dumbbells - 3kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 87 ,48.6%,0.1,,,,,0.00,,,
FORCE USA,F-G20-TVMOUNT,Force USA G20 TV mounting Bracket,STRENGTH,Attachments - Other Attachments,Obsolete,734.3,89,0,0,89,0,0, $ -   ,4, $ 87 ,0.6%,0.1,,,,,0.01,,,
PTP,PTP E7,ELITE POWER HANDLES-BLACK,STRENGTH,Attachments - Cable Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,7, $ 84 ,9.5%,0.2,,,,,0.00,,,
X-Roar,F-CRD5-XROAR,X-ROAR Custom Commercial Round Dumbbells - 5kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 82 ,52.1%,0.1,,,,,0.00,,,
FORCE USA,F-PIN-4,Force USA Magpin Set of 4,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,1617,49,0,0,49,0,0, $ -   ,1, $ 81 ,65.7%,0.0,,,,,0.00,,,
FORCE USA,F-RIG-JHOOK,Deluxe J-Hook - Lasercut (pair),STRENGTH,Rigs & Racks - Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,1, $ 81 ,62.9%,0.0,,,,,0.00,,,
PTP,PTP E2,POWERTUBE ELITE LIGHT-LIME,FUNCTIONAL,Training Aids,Obsolete,27.5,5,0,0,5,0,0, $ -   ,6, $ 79 ,58.7%,0.2,,,,,1.70,,,
FORCE USA,F-BARHOLDER,Force USA Barbell holder,STRENGTH,Storage - Bar & Plate Storage,C,40.3,11,0,0,11,0,0, $ -   ,9, $ 77 ,45.9%,0.3,,,,,0.00,,,
HART SPORTS,6-251,Hart Yoga Blocks Large,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,3, $ 77 ,15.6%,0.1,,,,,0.00,,,
FORCE USA,F-CRD5,Force USA Commercial Round Dumbbells - 5kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 73 ,27.8%,0.1,,,,,0.00,,,
RPM,BC101-STL,Bare Cable - Steel,FUNCTIONAL,Ropes - Skipping Ropes,C,99,12,0,0,12,0,0, $ -   ,4, $ 73 ,57.9%,0.1,,,,,0.00,,,
FORCE USA,F-RIG-2FTPIN,2FT Pin & Pipe Safeties (Pair),STRENGTH,Rigs & Racks - Attachments,Obsolete,198,6,0,0,6,0,0, $ -   ,1, $ 72 ,66.3%,0.0,,,,,0.00,,,
REP,PRA-4410-12,"REP Fitness 12"" Weight Horns PR-4000",STRENGTH,Rigs & Racks - Attachments,Obsolete,396,13,0,1,12,0,0, $ -   ,1, $ 72 ,45.7%,0.0,,,,,0.00,,,
PTP,HG COMBO,HAND GRIP LOOPS-BLACK & LIME,STRENGTH,Attachments - Cable Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,6, $ 69 ,5.7%,0.2,,,,,0.00,,,
FORCE USA,SOWP2000,Force USA Steel Olympic Weight Plate 20kg,STRENGTH,Barbells & Weight Plates - Weight Plates,Obsolete,0,0,0,0,0,0,0, $ -   ,5, $ 61 ,-199.9%,0.2,,,,,0.00,,,
CENTR,CSD,Centr Slider Discs,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,4, $ 59 ,-19.6%,0.1,,,,,0.00,,,
FORCE USA,F-CRD2,Force USA Commercial Round Dumbbells - 2kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 58 ,36.9%,0.1,,,,,0.00,,,
S30,S30-RHD2,S30 Rubber Hex Dumbbells - 2kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,42.4,18,0,0,18,0,0, $ -   ,14, $ 56 ,-17.1%,0.4,,,,,-0.03,,,
RPM,CC101-PLM-O,Coated Cable - Plum,FUNCTIONAL,Ropes - Skipping Ropes,C,22,2,3,0,2,0,0, $ -   ,3, $ 55 ,55.6%,0.1,15-Sep-2026,3,0,PO0033328,0.00,,,
RPM,SP103-CLR,"Spare Parts - Session, Sprint, Comp",STRENGTH,Attachments - Spare Parts,C,341,31,0,0,31,0,0, $ -   ,3, $ 55 ,57.2%,0.1,,,,,0.00,,,
PTP,PTP E10,ELITE INDOOR ANCHOR-BLACK,STRENGTH,Attachments - Cable Attachments,Obsolete,5.5,1,0,0,1,0,0, $ -   ,6, $ 54 ,20.9%,0.2,,,,,0.00,,,
PTP,PTP E3,POWERTUBE ELITE MEDIUM-GREEN,FUNCTIONAL,Training Aids,Obsolete,26.4,4,0,0,4,0,0, $ -   ,5, $ 53 ,-29.1%,0.2,,,,,0.21,,,
FORCE USA,F-TT-CB-200,Force USA Tandem Tower Crossbeam 200cm,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,957,29,0,0,29,0,0, $ -   ,1, $ 53 ,8.5%,0.0,,,,,0.00,,,
PUNCH EQUIPMENT,UBGB16V30,Boxing Gloves - Urban - 16oz - Black V30,FUNCTIONAL,Training Aids,Obsolete,396,12,0,0,12,0,0, $ -   ,1, $ 51 ,48.4%,0.0,,,,,0.00,,,
S30,S30-FOAMPLYO,S30 Foam Plyo Box 3 in 1,FUNCTIONAL,Boxes - Foam,Obsolete,33,1,0,0,1,0,0, $ -   ,1, $ 45 ,-219.2%,0.0,,,,,0.00,,,
FORCE USA,F-TT-CB-180,Force USA Tandem Tower Crossbeam 180cm,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,891,27,0,0,27,0,0, $ -   ,1, $ 45 ,16.3%,0.0,,,,,0.00,,,
PUNCH EQUIPMENT,UQWB02,Quickwraps - Urban - M - Black - 1 Pair,FUNCTIONAL,Training Aids,Obsolete,90.8,11,0,0,11,0,0, $ -   ,4, $ 38 ,38.1%,0.1,,,,,0.00,,,
MORGAN SPORTS,CF-16-FM,MORGAN ROPE ANCHOR FOR BATTLE ROPES & FLOOR TO CEILING STRAPS,STRENGTH,Rigs & Racks - Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,1, $ 36 ,55.5%,0.0,,,,,0.00,,,
REP,FT-3500-UPGRADE,REP Arcadia Trainer Upgrade Kit (50lb / 22.6kg),STRENGTH,All-In-One Trainers - All-In-One Attachments,C,99,3,0,0,3,0,0, $ -   ,1, $ 36 ,66.1%,0.0,,,,,0.65,,,
,CBPRO 65CM ONYX BLACK,CORE BALL 65CM ONYX BLACK-ONYX BLACK,,,Obsolete,99,3,0,0,3,0,0, $ -   ,1, $ 33 ,8.4%,0.0,,,,,0.00,,,
MORGAN SPORTS,CF-GB-H,Morgan Micro Knitted Resistance Band - Heavy,,,Obsolete,16.5,1,0,0,1,0,0, $ -   ,2, $ 31 ,41.3%,0.1,,,,,0.00,,,
PTP,MB2,MEDIBAND LIME - LIGHT,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,1, $ 1 ,4, $ 29 ,-19.0%,0.1,,,,,0.00,,,
FORCE USA,F-CRD1,Force USA Commercial Round Dumbbells - 1kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,2, $ 29 ,-5.5%,0.1,,,,,0.00,,,
NIKE,DRDK-1001,Nike Hex Dumbbell - 1kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,110,20,22,0,20,0,0, $ -   ,6, $ 28 ,-122.2%,0.2,,,,,-0.05,,,
PUNCH EQUIPMENT,UCIW02V30,Cotton Inners Urban Elastic Wrist M Wht 1 Pr V30,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,6, $ 28 ,35.2%,0.2,,,,,0.00,,,
S30,S30-RHD1,S30 Rubber Hex Dumbbells - 1kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,Obsolete,28.3,12,0,0,12,0,0, $ -   ,14, $ 24 ,-64.9%,0.4,,,,,-0.09,,,
PUNCH EQUIPMENT,UQWB01,Quickwraps - Urban - S - Black - 1 Pair,FUNCTIONAL,Training Aids,Obsolete,181.5,11,0,0,11,0,0, $ -   ,2, $ 23 ,48.9%,0.1,,,,,0.12,,,
RPM,CC101-TBK-O,Coated Cable - True Black,FUNCTIONAL,Ropes - Skipping Ropes,C,66,2,0,0,2,0,0, $ -   ,1, $ 18 ,55.6%,0.0,,,,,0.00,,,
PUNCH EQUIPMENT,UQWB03,Quickwraps - Urban - L - Black - 1 Pair,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,0, $ -   ,2, $ 11 ,-11.1%,0.1,,,,,0.00,,,
PTP,MICRO1,MICROBAND ULTRA LIGHT-PINK,FUNCTIONAL,Training Aids,Obsolete,0,0,0,0,0,0,1, $ 1 ,3, $ 9 ,-146.9%,0.1,,,,,0.00,,,
PUNCH EQUIPMENT,UHWB01,Handwraps - Urban Stretch - Black - 1 Pair,FUNCTIONAL,Training Aids,Obsolete,231,7,0,0,7,0,0, $ -   ,1, $ 7 ,35.8%,0.0,,,,,0.00,,,
FORCE USA,SOWP250,Force USA Steel Olympic Weight Plate 2.5kg,STRENGTH,Barbells & Weight Plates - Weight Plates,Obsolete,0,0,0,0,0,0,0, $ -   ,4, $ 6 ,-223.5%,0.1,,,,,0.00,,,
PUNCH EQUIPMENT,UCIW03V30,Cotton Inners Urban Elastic Wrist L Wht 1 Pr V30,FUNCTIONAL,Training Aids,Obsolete,99,3,0,0,3,0,0, $ -   ,1, $ 5 ,42.0%,0.0,,,,,0.00,,,
HARBINGER,23340,"Harbinger 5"" Foam Core Belt BLACK XLGE",FUNCTIONAL,Training Aids,Obsolete,66,2,0,0,2,0,0, $ -   ,1, $ 3 ,-453.7%,0.0,,,,,0.00,,,
BLACKROLL,A003133,BLACKROLL Compression Boots Spare Battery Pack,RECOVERY,Compression Boots,Obsolete,8,8,0,0,8,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
BODYTONE,LP10,Bodytone Weight Stack Upgrade (x2 5kg Plates),STRENGTH,Attachments - Spare Parts,Obsolete,4,4,0,0,4,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,0002 W5.1,Centr Weights plates,STRENGTH,Barbells & Weight Plates - Weight Plates,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,2-HTURF11,CENTR x HYROX Perform Turf - Middle End Zone without Logo,FLOORING,Turf,Obsolete,123.8,16,0,1,15,0,0, $ -   ,4, $ -   ,,0.1,,,,,0.00,,,
CENTR,2-HTURF12,CENTR x HYROX Perform Turf - Outer End Zone without Logo,FLOORING,Turf,Obsolete,123.8,16,0,1,15,0,0, $ -   ,4, $ -   ,,0.1,,,,,0.00,,,
CENTR,CFUB1.1,Centr Fusion bench with Weight Storage,STRENGTH,Benches - Adjustable,C,4,4,0,0,4,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HAB1,Centr x HYROX Perform Series Air Bike,FUNCTIONAL,Hyrox,C,0,0,14,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HESB10,Centr x Elite 15 Hyrox Sandbag 10kg,FUNCTIONAL,Hyrox,C,4,4,0,0,4,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HESB30,Centr x Elite 15 Hyrox Sandbag 30kg,FUNCTIONAL,Hyrox,C,9,10,0,1,9,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HEUKB16,Centr x Elite15 Hyrox Octo-Kettlebell 16kg,FUNCTIONAL,Hyrox,C,4,4,10,0,4,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HEWB4,Centr x Elite 15 Hyrox Wall Ball 4kg,STRENGTH,Functional,C,4,4,10,0,4,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HPR-4T,CENTR x HYROX Perform Rig - 4 Targets,FUNCTIONAL,Hyrox,C,5,7,2,2,5,0,0, $ -   ,0, $ -   ,,0.0,15-Nov-2026,2,0,PO0033468,0.00,,,
CENTR,HPR-6T,CENTR x HYROX Perform Rig - 6 Targets,FUNCTIONAL,Hyrox,C,1,3,2,2,1,0,0, $ -   ,0, $ -   ,,0.0,15-Nov-2026,2,0,PO0033468,0.00,,,
CENTR,HPR-8T,CENTR x HYROX Perform Rig - 8 Targets,FUNCTIONAL,Hyrox,C,2,2,0,0,2,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HR2C,Centr x HYROX Perform Series HR2 Half Rack Complete,FUNCTIONAL,Hyrox,C,0,0,15,0,0,1,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HRBC,CENTR x HYROX Perform Rig - Bar Catch (Front Spotter Arms - 2 Pieces),FUNCTIONAL,Hyrox,C,7,10,4,3,7,0,0, $ -   ,0, $ -   ,,0.0,15-Nov-2026,4,0,PO0033468,0.00,,,
CENTR,HRBS,CENTR x HYROX Perform Rig - Bar Support (J Hooks - 2 pieces),FUNCTIONAL,Hyrox,C,7,10,4,3,7,0,0, $ -   ,0, $ -   ,,0.0,15-Nov-2026,4,0,PO0033468,0.00,,,
CENTR,HRDP,CENTR x HYROX Perform Rig - Double Play (Bar/ Weight Storage),FUNCTIONAL,Hyrox,C,10,10,0,0,10,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HRDS,CENTR x HYROX Perform Rig - Dip Step Anchor (Pair),FUNCTIONAL,Hyrox,C,10,10,0,0,10,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HRLBPA,CENTR x HYROX Perform Rig - Lower Band Peg Attachment,FUNCTIONAL,Hyrox,C,5,5,0,0,5,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HRLM,CENTR x HYROX Perform Rig - Landmine Attachment,FUNCTIONAL,Hyrox,C,20,20,0,0,20,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HTURF1,CENTR x HYROX Perform Turf - Plain Black,FLOORING,Turf,A,0,0,12,0,0,0,0, $ -   ,4, $ -   ,,0.1,15-Sep-2026,2,0,PO0033305,0.00,,,
CENTR,HTURF3,Centr x Hyrox Official Competition Perform Turf - 2 Full Lanes with no logo,FLOORING,Turf,A,0,0,15,0,0,0,0, $ -   ,9, $ -   ,,0.3,15-Sep-2026,1,0,PO0033369,0.00,,,
CENTR,HTZ-4,Lane Custom Logo Kit Centr x Hyrox Perform turf - Complete HTZ 4 Lane Kit w/ Custom Logo,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,15-Nov-2026,1,1,PO0033468,0.00,,,
CENTR,HTZ-CUSTOM-6,"Centr x Hyrox Perform Turf - Complete HTZ 6 Lane Kit w/ Custom Logo (16.2m L x 5.98m W | 1,042.39ftÂ²)",,,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Oct-2026,1,0,PO0033427,0.00,,,
CENTR,HUBP10,CENTR x HYROX Interlocking Bumper Plate 10kg,FUNCTIONAL,Hyrox,C,0,0,15,0,0,0,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,10,0,PO0033370,0.00,,,
CENTR,HUBP15,CENTR x HYROX Interlocking Bumper Plate 15kg,FUNCTIONAL,Hyrox,C,0,0,15,0,0,0,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,10,0,PO0033370,0.00,,,
CENTR,HUBP2,CENTR x HYROX Top Plate Weight 2kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HUBP2.5,CENTR x HYROX Interlocking Bumper Plate 2.5kg,FUNCTIONAL,Hyrox,C,0,0,15,0,0,0,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,10,0,PO0033370,0.00,,,
CENTR,HUBP20,CENTR x HYROX Interlocking Bumper Plate 20kg,FUNCTIONAL,Hyrox,C,0,0,15,0,0,0,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,10,0,PO0033370,0.00,,,
CENTR,HUBP3,CENTR x HYROX Top Plate Weight 3kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HUBP5,CENTR x HYROX Interlocking Bumper Plate 5kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,15,0,0,0,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,10,0,PO0033370,0.00,,,
CENTR,HUDB10K,CENTR x HYROX Urethane Dumbbell 10kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,34,0,0,2,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,14,2,PO0033370,0.00,,,
CENTR,HUDB12.5K,CENTR x HYROX Urethane Dumbbell 12.5kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,24,0,0,0,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,12,0,PO0033370,0.00,,,
CENTR,HUDB15K,CENTR x HYROX Urethane Dumbbell 15kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,26,0,0,2,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,14,2,PO0033370,0.00,,,
CENTR,HUDB17.5K,Urethane Dumbbell 17.5kg,,Dumbbells,C,0,0,20,0,0,0,0, $ -   ,0, $ -   ,,0.0,5-Oct-2026,12,0,PO0033370,0.00,,,
CENTR,HUDB20K,CENTR x HYROX Urethane Dumbbell 20kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,26,0,0,2,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,14,2,PO0033370,0.00,,,
CENTR,HUDB22.5K,Urethane Dumbbell 22..5kg,,Dumbbells,C,0,0,20,0,0,0,0, $ -   ,0, $ -   ,,0.0,5-Oct-2026,12,0,PO0033370,0.00,,,
CENTR,HUDB25K,Urethane Dumbbell 25kg,,Dumbbells,C,0,0,22,0,0,2,0, $ -   ,0, $ -   ,,0.0,5-Oct-2026,14,2,PO0033370,0.00,,,
CENTR,HUDB5K,CENTR x HYROX Urethane Dumbbell 5kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,26,0,0,2,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,14,2,PO0033370,0.00,,,
CENTR,HUDB7.5K,CENTR x HYROX Urethane Dumbbell 7.5kg,FUNCTIONAL,Hyrox,Non-stocked,0,0,26,0,0,2,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,14,2,PO0033370,0.00,,,
CENTR,HUOKB12,CENTR x HYROX Competition Octo Kettlebell 12kg,FUNCTIONAL,Hyrox,Non-stocked,0,2,15,2,0,1,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,10,1,PO0033370,0.00,,,
CENTR,HUOKB8,CENTR x HYROX Competition Octo Kettlebell 8kg,FUNCTIONAL,Hyrox,Non-stocked,0,2,15,2,0,1,0, $ -   ,0, $ -   ,,0.0,05-Oct-2026,10,1,PO0033370,0.00,,,
CENTR,HUTP2,Centr x Hyrox Competition Topper Plate - 2kg,FUNCTIONAL,Hyrox,C,30,30,0,0,30,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HUTP3,Centr x Hyrox Competition Topper Plate - 3kg,FUNCTIONAL,Hyrox,C,30,30,0,0,30,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HYROX-TURF2,CENTR x HYROX Perform Turf - 2 Lanes with End Zones,FLOORING,Turf,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,HYROX-TURF4,CENTR x HYROX Perform Turf - 4 Lanes with End Zones,FLOORING,Turf,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,RW1,Centr Perform Series Rower,COMMERCIAL,Rowers,C,0,0,35,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Nov-2026,5,0,PO0033468,0.00,,,
CENTR,SF6-SCSWB PKG,"Inspire Series SF6 Home Gym Functional Trainer Package w/ SCSWB Bench (SF6 w/ SCSWB, SCS-LEC, SCS-PCA, FT2-LCK , & RA0)",OTHER,,Non-stocked,0,0,6,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,6,0,PO0033368,0.00,,,
CENTR,SK1,Centr Perform Series Ski Machine Complete with Base,CARDIO,Ski,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CENTR,SKI1-C,Centr Perform Series Ski Machine Complete with Base,COMMERCIAL,Ski Trainers,C,0,0,28,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
CONCEPT 2,PN2775,Concept2 RowErg with Tall Legs,CARDIO,Rowers,Obsolete,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FBE001,Fitillion Bands Extension (Bands storage hanger for longs & minis),STRENGTH,Storage - Functional Storage,Non-stocked,15,18,0,3,15,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FBR001,Fitillion Boxing Rig,STRENGTH,Rigs & Racks - Rigs,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FFS001,Fitillion Floor Shelf,STRENGTH,Storage - Functional Storage,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FHH001,Fitillion Heart Rate Hub,STRENGTH,Attachments - Other Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FHM001,Fitillion Heart Rate Monitor,STRENGTH,Attachments - Other Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FLR001,Fitillion Storage Rack - Large,STRENGTH,Storage - Functional Storage,Non-stocked,4,4,0,0,4,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FLR002,Fitillion Storage Rack - Small,STRENGTH,Storage - Functional Storage,Non-stocked,3,8,0,5,3,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FPU001,Fitillion Pull-Up Bar,STRENGTH,Rigs & Racks - Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FRR001,Fitillion Resistance Rings,FUNCTIONAL,Training Aids,Non-stocked,0,0,0,0,0,3,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FSR001,Fitillion Sandbag Rack - Large,STRENGTH,Storage - Functional Storage,Non-stocked,2,2,0,0,2,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FSR002,Fitillion Sandbag Rack - Small,STRENGTH,Storage - Functional Storage,Non-stocked,3,3,0,0,3,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FSS001,Fitillion Smart Scale,STRENGTH,Attachments - Other Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FTT001,Fitillion turf track,FLOORING,Turf,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FTV001,Fitillion TV stands,STRENGTH,Storage - Functional Storage,Non-stocked,19,19,0,0,19,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FUB001,Fitillion Universal Bands,FUNCTIONAL,Training Aids,Non-stocked,0,0,0,0,0,2,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITILLION,FWH001,Fitillion Weight Plate Holder - Long,STRENGTH,Storage - Bar & Plate Storage,Non-stocked,4,4,0,0,4,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FITNESS CONCEPT,FC-DUFFELBAG,Fitness Concept Duffelbag/backpack,FUNCTIONAL,Training Aids,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,ALU-P-50,Aluminium Pulley 50mm,STRENGTH,Attachments - Spare Parts,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,ALU-P-75,Aluminium Pulley 75mm,STRENGTH,Attachments - Spare Parts,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,COWP10-LB,Force USA Coloured Olympic Weight Plate 10LB,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,6,0,PO0033336,0.00,,,
FORCE USA,COWP25-LB,Force USA Coloured Olympic Weight Plate 25LB,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,6,0,PO0033336,0.00,,,
