8/10/2026,<< Data Refreshed Date,REVEL - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,,,Calendar Week:,33
,,,,,,,,,,,,,,,,,,,,,,
Item Name,Item Description,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD , GP % YTD ,YTD WEEKLY ROS,Order ETA,Next Order Quantity,Allocated Demand,Next PO,,,,
R-HAT-GREEN,Revel Sauna Hat - Premium 100% Wool Heat Shield - Green,Saunas,0,24,300,24,0,7,5, $ 82 ,445," $ 12,318 ",68.7%,13,01-Nov-2026,300,7,PO0033269,,,,
R-FS-2P,Revel Aura 2 Person Full Spectrum Infrared Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,3," $ 10,630 ",55.9%,0,,,,,,,,
R-FS-PREM-2P-V2,Revel Nova 2 Person Full Spectrum Infrared Sauna,Saunas,220,22,29,2,20,0,0, $ -   ,3," $ 13,394 ",44.1%,0,20-Aug-2026,8,0,PO0032754,,,,
R-TR-2P-V2,Revel Tampere 2 Person Traditional Finnish Sauna with Step,Saunas,33,4,0,1,3,0,0, $ -   ,3," $ 10,269 ",55.7%,0,,,,,,,,
R-ICEMOB,Revel Freeze - Mobile Ice Bath,Ice Baths,32,22,0,0,22,0,2," $ 1,017 ",23," $ 11,237 ",45.9%,1,,,,,,,,
R-BT-CEDAR-2P,Revel Aurora 2 Person Traditional Cedar Barrel Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,2," $ 9,089 ",21.6%,0,,,,,,,,
R-FS-1P,Revel Aura 1 Person Full Spectrum Infrared Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,3," $ 9,067 ",52.0%,0,,,,,,,,
R-CS-3P,Revel NordicWave 2 Person Infrared & Traditional Hybrid Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,2," $ 7,954 ",46.4%,0,,,,,,,,
R-TR-C6P,Revel Tampere 6 Person Sauna,Saunas,264,8,0,0,8,0,0, $ -   ,1," $ 7,273 ",40.2%,0,,,,,,,,
R-CHILLERMOB,Revel Chiller - 0.3HP,Ice Baths,94,40,0,0,40,0,1," $ 1,363 ",14," $ 8,308 ",9.8%,0,,,,,,,,
R-BT-8P,Revel Eden - 8 Person Traditional Barrel Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,6," $ 11,864 ",-11.3%,0,,,,,,,,
R-FS-C6P,Revel Aura 6 Person Sauna,Saunas,0,1,0,1,0,0,0, $ -   ,1," $ 5,964 ",36.6%,0,,,,,,,,
R-TOWEL,Revel Jacquard Towel,Training Aids,43,423,0,16,407,0,8, $ (16),310," $ 5,218 ",4.1%,9,,,,,,,,
R-ICEFOUND,Revel Arctic - Cedar Ice Bath,Ice Baths,0,0,0,0,0,0,0, $ -   ,2," $ 4,520 ",-60.2%,0,,,,,,,,
R-CHILLERWHITE-S,Revel Chiller White - 0.8HP,Ice Baths,0,0,0,0,0,0,0, $ -   ,2," $ 7,544 ",69.2%,0,,,,,,,,
R-SAUBACKHEM,Revel Sauna Backrest - Hemlock,Saunas,27,94,85,8,86,0,5, $ 359 ,106," $ 5,175 ",48.2%,3,10-Dec-2026,25,0,PO0033350,,,,
R-CHILL-COM-COVER,Revel Commercial Pump & Filter Cover,Ice Baths,73,23,0,1,22,0,0, $ -   ,10," $ 4,305 ",53.0%,0,,,,,,,,
R-CHILL-AIO-1HP,Revel All in One Chiller - 1HP,Ice Baths,2,2,0,0,2,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-HYDROGEN,Revel Hydrogen Water Bottle,Training Aids,50,24,0,0,24,0,0, $ -   ,16," $ 2,538 ",54.3%,0,,,,,,,,
R-MASSAGEPRO,Revel Massage Gun Pro,Massage Tools,72,41,0,2,39,0,0, $ -   ,18," $ 2,266 ",7.9%,1,,,,,,,,
R-ICEMAT,Revel Arctic Dry - Ice Bath Mat,Ice Baths,0,1,0,1,0,0,0, $ -   ,14," $ 2,107 ",-52.5%,0,,,,,,,,
S-029-C,Revel Sauna Backrest - Cedar,Saunas,2,2,0,0,2,0,0, $ -   ,33," $ 1,788 ",36.7%,1,,,,,,,,
R-CHILL-HOSE-INSUL,Revel Ice Bath Hose Insulators,Ice Baths,30,32,0,2,30,0,1, $ 90 ,33," $ 1,851 ",30.2%,1,,,,,,,,
R-CHILLER-05-XS,Revel Chiller - 0.5HP - MINI,Ice Baths,314,19,0,0,19,0,0, $ -   ,2," $ 2,641 ",55.8%,0,,,,,,,,
R-SAUBACKCED,Revel Sauna Backrest - Cedar,Saunas,37,53,75,1,52,0,1, $ -   ,47," $ 1,887 ",21.3%,1,10-Dec-2026,27,0,PO0033349,,,,
R-BOTTLE,Revel 1 Litre Drink Bottle,Training Aids,47,188,0,5,183,0,2, $ 71 ,130," $ 1,379 ",27.1%,4,,,,,,,,
R-ICEFOUND-V2-TUB,Revel Arctic Tub - Cedar Ice Bath,Ice Baths,0,0,0,0,0,0,0, $ -   ,1, $ 909 ,-270.0%,0,,,,,,,,
R-HR1,Revel Glacier Headrest,Ice Baths,80,64,0,6,58,0,0, $ -   ,24, $ 891 ,74.8%,1,,,,,,,,
R-CHILL-AIO-FILT,Revel All in One Ice Bath Filter,Ice Baths,45,52,44,0,52,0,0, $ -   ,38, $ 739 ,48.5%,1,01-Nov-2026,44,0,PO0033262,,,,
R-CHILL-COM-ADAPT,"Revel Commercial Hose Adaptor 1"" to 1/2"" - QTY 2",Ice Baths,31,44,0,12,32,3,0, $ -   ,34, $ 513 ,50.2%,1,,,,,,,,
R-AIO-HEADREST-BL,Revel All in One Headrest - Black,Saunas,22,12,37,4,8,1,0, $ -   ,12, $ 632 ,43.3%,0,01-Nov-2026,37,1,PO0033264,,,,
S-029,Revel Sauna Backrest - Hemlock,Saunas,15,4,0,0,4,0,0, $ -   ,9, $ 431 ,42.3%,0,,,,,,,,
R-ICEMAT-BLACK,Revel Arctic Dry - Black Ice Bath Mat,Ice Baths,0,0,0,0,0,0,0, $ -   ,2, $ 272 ,-140.4%,0,,,,,,,,
R-AIO-PH-HOLD,Revel Ice Bath Phone Holder,Ice Baths,46,7,0,0,7,0,0, $ -   ,5, $ 262 ,42.7%,0,,,,,,,,
R-AIO-HEADREST-WH,Revel All in One Headrest - White,Saunas,22,3,0,1,2,0,0, $ -   ,3, $ 176 ,48.6%,0,,,,,,,,
R-ICEMOB-V2,Revel Freeze - Mobile Ice Bath,Ice Baths,473,43,0,0,43,0,0, $ -   ,3, $ 321 ,-155.1%,0,,,,,,,,
R-FS-5P,Revel Aura 4 Person Full Spectrum Infrared Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,1, $ 141 ,-1461.9%,0,,,,,,,,
R-MUSHYS,Revel Mushroom Pack,Training Aids,0,0,0,0,0,0,0, $ -   ,1, $ 123 ,100.0%,0,,,,,,,,
R-CHILL-COM-34ADPT,"Revel Commercial Hose Adaptor 1"" to 3/4"" - QTY 2",Ice Baths,1617,49,0,0,49,0,0, $ -   ,1, $ 9 ,70.3%,0,,,,,,,,
R-ICE-X-ALLIN1-BLK,Revel Glasur X All in One Ice Bath - Black,Ice Baths,50,20,35,11,9,0,0, $ -   ,6," $ 42,125 ",52.1%,0,01-Nov-2026,28,0,PO0033262,,,,
R-SHINGLE,Revel Sauna Shingles,Saunas,1617,206,0,10,196,0,1, $ 163 ,4, $ 651 ,80.6%,0,,,,,,,,
R-CHILL-ICEX-1HP,Revel Glasur X All in One Chiller - 1HP,Ice Baths,3,3,2,0,3,0,0, $ -   ,0, $ -   ,,0,01-Nov-2026,2,0,PO0033261,,,,
R-AP-1P,Revel Artic Pro 1 Person Cold Plunge,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-CFS-8P,Revel Aura Pro - 8 Person Infrared Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-CHILLER-XY-06-XS,Revel Chiller - 0.6HP - XY PRO,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-CHILL-WATERPUMP,Revel Commercial Water Pump,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-ICEBARREL,Revel Deep Chill Barrel,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-CHILLER-XY-03-MIN,Revel Freeze Mini Chiller - 0.3HP.,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-Massage,Revel Mini Massage Gun,Massage Tools,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-CS-4P,Revel NordicWave 3 Person Infrared & Traditional Hybrid Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-CS-CAB-3P,Revel Outdoor NordicWave 3 Person Infrared & Traditional Hybrid Sauna (No Heater),Saunas,0,0,101,0,0,0,0, $ -   ,0, $ -   ,,0,30-Sep-2026,39,0,PO0033181,,,,
R-SOLARIS-DOOR,Revel Solaris Glass Door,Saunas,0,0,30,0,0,2,0, $ -   ,0, $ -   ,,0,25-Sep-2026,30,2,PO0033306,,,,
R-REDLIGHTMASK,Revel Ultra Glow Redlight Face Mask,Massage Tools,0,0,100,0,0,0,0, $ -   ,0, $ -   ,,0,28-Aug-2026,100,0,PO0033073,,,,
R-H-SW90KW-E,Harvia Black Wall SW90 Heater - Electronic,Saunas,0,0,53,0,0,0,0, $ -   ,0, $ -   ,,0,15-Oct-2026,17,0,PO0033170,,,,
R-H-SPEAKER-BLACK,Harvia Water-resistant sauna speaker Harvia - Black,Saunas,506,47,0,1,46,0,2, $ 271 ,3, $ 406 ,65.3%,0,,,,,,,,
R-H-SPEAKER-RED,Harvia Water-resistant sauna speaker Harvia - Red,Saunas,49,49,0,0,49,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-H-PC70-E,Harvia Electronic Silver Cilindro Pillar Heater 6.8KW - PC70,Saunas,99,44,0,2,42,0,2," $ 1,979 ",14," $ 12,793 ",52.0%,0,,,,,,,,
R-H-PC70-E-BLACK,Harvia Electronic Black Cilindro Pillar Heater 6.8KW - PC70,Saunas,56,46,6,7,39,0,4," $ 4,272 ",23," $ 23,798 ",100.0%,1,30-Jan-2027,6,0,PO0033434,,,,
R-ICEACRYL-BLK-LID,Revel Edur Noir Ice Bath - Insulated Cover,Ice Baths,4,4,0,0,4,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-TR-C10P,Revel Tampere 10 Person Sauna,Saunas,4,4,0,0,4,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-CHILLER-COM,Revel Chiller - 2.0HP,Ice Baths,2,2,0,0,2,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-ICEACRYLIC-LID,Revel Edur Ice Bath - Insulated Cover,Ice Baths,2,2,0,0,2,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-FS-C10P,Revel Aura 10 Person Sauna,Saunas,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-CHILLER-FILTER,Revel Commercial Filter,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-BT-6P,Revel Eden - 6 Person Traditional Barrel Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-ICEACRYLIC-HR,Revel Edur Ice Bath - Headrest,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-PWC-2P,Revel Glacier Duo - Premium Ice Bath,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-XEN-WIFI-170-VEG,Harvia Xenio CX170 WIFI Control (Vega Heater),Saunas,33,18,0,2,16,0,1," $ 1,272 ",16," $ 18,437 ",30.8%,0,,,,,,,,
